student_id,cohort_year,gender,race_ethnicity,first_generation,pell_eligible,program_code,retention_probability,risk_score,risk_band,actual_returned_year_2
S100027,2023,Male,Asian,Yes,No,EDU,0.85,0.15,Low,1
S100028,2022,Male,White,No,No,BUS,0.7022,0.2978,Moderate,1
S100029,2021,Male,White,Yes,No,NUR,0.878,0.122,Low,1
S100030,2021,Male,White,Yes,No,ENG,0.7553,0.2447,Moderate,1
S100031,2020,Male,White,No,No,PSY,0.8411,0.1589,Low,1
S100032,2020,Male,White,No,Yes,COM,0.8195,0.1805,Low,1
S100033,2022,Female,White,No,Yes,POL,0.9207,0.0793,Low,1
S100034,2023,Male,White,No,Yes,EDU,0.8437,0.1563,Low,1
S100035,2020,Male,International,No,No,BIO,0.8249,0.1751,Low,1
S100036,2023,Male,Hispanic/Latino,No,No,PSY,0.7422,0.2578,Moderate,0
S100037,2023,Female,Asian,No,Yes,NUR,0.8235,0.1765,Low,1
S100038,2021,Female,White,No,No,BUS,0.8157,0.1843,Low,1
S100039,2022,Female,White,No,No,EDU,0.8206,0.1794,Low,1
S100040,2020,Female,Two or More Races,No,No,COM,0.7729,0.2271,Moderate,1
S100041,2023,Female,White,No,Yes,NUR,0.7992,0.2008,Moderate,1
S100042,2022,Female,Hispanic/Latino,Yes,Yes,EDU,0.451,0.549,Elevated,0
S100043,2021,Female,International,No,No,CS,0.7634,0.2366,Moderate,0
S100044,2020,Female,Hispanic/Latino,No,No,SOC,0.8355,0.1645,Low,1
S100045,2023,Female,White,No,Yes,EDU,0.6724,0.3276,Moderate,0
S100046,2021,Male,Hispanic/Latino,No,Yes,BIO,0.678,0.322,Moderate,0
S100047,2023,Female,White,Yes,No,CS,0.8304,0.1696,Low,1
S100048,2022,Female,White,Yes,No,BIO,0.9054,0.0946,Low,1
S100049,2023,Female,White,No,Yes,POL,0.85,0.15,Low,1
S100050,2023,Female,Black/African American,No,No,ENG,0.8637,0.1363,Low,1
S100051,2020,Female,Hispanic/Latino,No,Yes,SOC,0.6582,0.3418,Moderate,1
S100052,2021,Male,White,No,No,ENG,0.9207,0.0793,Low,1
S100053,2021,Male,White,No,No,ENG,0.9114,0.0886,Low,1
S100054,2021,Female,Hispanic/Latino,No,Yes,NUR,0.7773,0.2227,Moderate,1
S100055,2020,Male,Two or More Races,No,Yes,POL,0.6261,0.3739,Moderate,0
S100056,2022,Female,White,Yes,No,COM,0.7085,0.2915,Moderate,0
S100057,2020,Female,White,No,No,BIO,0.87,0.13,Low,1
S100058,2022,Female,Black/African American,No,Yes,SOC,0.7086,0.2914,Moderate,1
S100059,2022,Female,Black/African American,Yes,No,BIO,0.8494,0.1506,Low,1
S100060,2023,Male,Two or More Races,Yes,Yes,BUS,0.9427,0.0573,Low,1
S100061,2022,Male,White,No,No,COM,0.5705,0.4295,Elevated,0
S100062,2021,Male,White,No,No,EDU,0.87,0.13,Low,1
S100063,2023,Female,White,No,No,ENG,0.882,0.118,Low,1
S100064,2021,Male,White,No,No,EDU,0.5978,0.4022,Elevated,0
S100065,2021,Female,Black/African American,Yes,No,BIO,0.782,0.218,Moderate,1
S100066,2023,Female,White,No,Yes,BIO,0.9219,0.0781,Low,1
S100067,2021,Female,Hispanic/Latino,No,No,PSY,0.8081,0.1919,Low,1
S100068,2020,Male,Black/African American,No,Yes,BIO,0.8063,0.1937,Low,1
S100069,2021,Nonbinary,International,No,No,BIO,0.8206,0.1794,Low,1
S100070,2023,Female,Hispanic/Latino,No,No,BUS,0.8388,0.1612,Low,1
S100071,2020,Female,Two or More Races,No,Yes,BIO,0.6407,0.3593,Moderate,1
S100072,2021,Male,White,No,No,ENG,0.8054,0.1946,Low,1
S100073,2020,Male,White,Yes,No,PSY,0.6354,0.3646,Moderate,0
S100074,2022,Female,White,No,No,CS,0.8584,0.1416,Low,1
S100075,2021,Male,International,No,No,POL,0.9219,0.0781,Low,1
S100076,2021,Male,Black/African American,No,No,BUS,0.8637,0.1363,Low,1
S100077,2020,Male,White,No,Yes,SOC,0.7983,0.2017,Moderate,1
S100078,2022,Female,White,Yes,No,BUS,0.8583,0.1417,Low,1
S100079,2022,Male,White,No,No,ENG,0.649,0.351,Moderate,0
S100080,2023,Female,White,Yes,Yes,NUR,0.7841,0.2159,Moderate,1
S100081,2021,Male,Black/African American,Yes,No,CS,0.8451,0.1549,Low,1
S100082,2020,Female,White,No,No,SOC,0.8299,0.1701,Low,1
S100083,2023,Female,Asian,No,No,BUS,0.7491,0.2509,Moderate,1
S100084,2022,Female,Hispanic/Latino,No,Yes,ENG,0.7418,0.2582,Moderate,0
S100085,2022,Female,White,No,No,CS,0.8382,0.1618,Low,1
S100086,2020,Female,White,Yes,No,CS,0.7832,0.2168,Moderate,1
S100087,2021,Female,Unknown,No,Yes,COM,0.87,0.13,Low,1
S100088,2023,Female,Hispanic/Latino,No,No,PSY,0.9007,0.0993,Low,1
S100089,2023,Female,White,No,Yes,EDU,0.8235,0.1765,Low,1
S100090,2021,Male,White,No,No,BIO,0.8263,0.1737,Low,1
S100091,2023,Male,Black/African American,No,No,PSY,0.816,0.184,Low,1
S100092,2023,Male,Asian,No,Yes,CS,0.8286,0.1714,Low,1
S100093,2021,Female,Asian,No,No,POL,0.7087,0.2913,Moderate,0
S100094,2023,Female,Hispanic/Latino,No,No,ENG,0.87,0.13,Low,1
S100095,2021,Male,Black/African American,No,No,SOC,0.8437,0.1563,Low,0
S100096,2020,Female,White,No,Yes,NUR,0.8388,0.1612,Low,0
S100097,2022,Female,Asian,No,No,BUS,0.8411,0.1589,Low,1
S100098,2022,Male,White,No,Yes,ENG,0.8408,0.1592,Low,1
S100099,2020,Male,Hispanic/Latino,No,No,POL,0.87,0.13,Low,1
S100100,2023,Female,Unknown,No,No,BIO,0.8557,0.1443,Low,1
S100101,2020,Male,International,No,Yes,BIO,0.8676,0.1324,Low,1
S100102,2023,Female,Hispanic/Latino,No,Yes,NUR,0.87,0.13,Low,1
S100103,2020,Male,Hispanic/Latino,Yes,Yes,POL,0.9621,0.0379,Low,1
S100104,2023,Female,Black/African American,Yes,Yes,BUS,0.8408,0.1592,Low,1
S100105,2023,Female,International,No,No,COM,0.8566,0.1434,Low,1
S100106,2023,Male,Asian,No,No,PSY,0.8,0.2,Low,1
S100107,2022,Female,White,No,Yes,CS,0.8605,0.1395,Low,1
S100108,2021,Male,White,No,No,EDU,0.6989,0.3011,Moderate,1
S100109,2022,Female,Black/African American,No,No,CS,0.7139,0.2861,Moderate,1
S100110,2021,Male,Asian,No,Yes,BUS,0.7947,0.2053,Moderate,1
S100111,2023,Male,Asian,Yes,No,ENG,0.87,0.13,Low,1
S100112,2022,Female,Hispanic/Latino,Yes,Yes,BUS,0.8362,0.1638,Low,1
S100113,2021,Male,White,No,No,SOC,0.7943,0.2057,Moderate,1
S100114,2022,Female,White,Yes,No,POL,0.6964,0.3036,Moderate,1
S100115,2022,Female,Asian,No,No,SOC,0.8579,0.1421,Low,1
S100116,2020,Female,White,No,No,CS,0.8299,0.1701,Low,1
S100117,2020,Male,Hispanic/Latino,No,Yes,CS,0.9013,0.0987,Low,1
S100118,2020,Male,Asian,Yes,No,ENG,0.7749,0.2251,Moderate,1
S100119,2020,Male,Black/African American,No,Yes,SOC,0.8637,0.1363,Low,1
S100120,2021,Male,White,No,Yes,EDU,0.9219,0.0781,Low,1
S100121,2022,Male,Asian,No,Yes,CS,0.9621,0.0379,Low,1
S100122,2022,Female,White,No,No,SOC,0.8299,0.1701,Low,1
S100123,2021,Male,White,No,No,CS,0.9427,0.0573,Low,1
S100124,2023,Female,White,No,No,EDU,0.8572,0.1428,Low,1
S100125,2022,Female,White,No,No,BIO,0.6283,0.3717,Moderate,0
S100126,2020,Female,Two or More Races,No,No,CS,0.9219,0.0781,Low,1
S100127,2023,Female,Black/African American,Yes,No,SOC,0.5896,0.4104,Elevated,0
S100128,2022,Female,White,No,No,BIO,0.8652,0.1348,Low,1
S100129,2022,Female,Black/African American,No,No,COM,0.8212,0.1788,Low,1
S100130,2022,Female,Hispanic/Latino,No,No,BIO,0.9467,0.0533,Low,1
S100131,2022,Female,Asian,No,No,CS,0.87,0.13,Low,1
S100132,2020,Male,Black/African American,No,Yes,PSY,0.9467,0.0533,Low,1
S100133,2022,Male,Hispanic/Latino,No,No,COM,0.8805,0.1195,Low,1
S100134,2023,Female,White,Yes,No,EDU,0.6451,0.3549,Moderate,1
S100135,2021,Female,White,No,No,SOC,0.8805,0.1195,Low,1
S100136,2022,Female,White,Yes,Yes,PSY,0.6354,0.3646,Moderate,0
S100137,2020,Female,Two or More Races,No,Yes,NUR,0.8073,0.1927,Low,1
S100138,2021,Male,Hispanic/Latino,No,No,POL,0.8263,0.1737,Low,1
S100139,2021,Female,White,No,No,PSY,0.7329,0.2671,Moderate,1
S100140,2023,Male,White,No,No,COM,0.7992,0.2008,Moderate,0
S100141,2020,Male,Two or More Races,No,No,PSY,0.8408,0.1592,Low,1
S100142,2021,Female,White,No,No,SOC,0.6455,0.3545,Moderate,1
S100143,2021,Male,Asian,No,No,BUS,0.572,0.428,Elevated,0
S100144,2023,Female,Hispanic/Latino,No,Yes,BUS,0.5901,0.4099,Elevated,1
S100145,2023,Male,White,No,Yes,PSY,0.7389,0.2611,Moderate,0
S100146,2020,Male,White,Yes,No,CS,0.7609,0.2391,Moderate,1
S100147,2020,Male,White,No,No,EDU,0.5982,0.4018,Elevated,0
S100148,2023,Male,White,Yes,No,CS,0.7564,0.2436,Moderate,1
S100149,2020,Male,Asian,No,No,BIO,0.8299,0.1701,Low,1
S100150,2023,Nonbinary,Asian,Yes,Yes,BUS,0.6261,0.3739,Moderate,0
S100151,2021,Female,White,No,No,SOC,0.9621,0.0379,Low,1
S100152,2023,Male,Hispanic/Latino,Yes,Yes,ENG,0.779,0.221,Moderate,1
S100153,2021,Male,White,No,No,POL,0.7729,0.2271,Moderate,1
S100154,2021,Female,White,Yes,Yes,PSY,0.7721,0.2279,Moderate,1
S100155,2022,Male,Asian,No,No,BIO,0.9029,0.0971,Low,1
S100156,2020,Female,Asian,Yes,No,BIO,0.8451,0.1549,Low,1
S100157,2022,Female,Asian,No,No,CS,0.8437,0.1563,Low,1
S100158,2022,Female,White,No,Yes,NUR,0.8805,0.1195,Low,1
S100159,2023,Female,Hispanic/Latino,Yes,Yes,NUR,0.7986,0.2014,Moderate,1
S100160,2023,Male,White,No,No,EDU,0.8436,0.1564,Low,1
S100161,2022,Female,Unknown,No,Yes,COM,0.9029,0.0971,Low,1
S100162,2021,Female,Hispanic/Latino,No,Yes,ENG,0.7862,0.2138,Moderate,1
S100163,2021,Female,Two or More Races,No,No,CS,0.6319,0.3681,Moderate,1
S100164,2021,Female,White,Yes,Yes,CS,0.7824,0.2176,Moderate,1
S100165,2023,Male,White,No,Yes,ENG,0.8206,0.1794,Low,1
S100166,2021,Male,Asian,Yes,No,BIO,0.8436,0.1564,Low,1
S100167,2020,Female,White,No,No,EDU,0.8557,0.1443,Low,1
S100168,2021,Female,Hispanic/Latino,No,No,BUS,0.715,0.285,Moderate,1
S100169,2020,Female,Hispanic/Latino,No,No,EDU,0.8437,0.1563,Low,1
S100170,2020,Male,Unknown,Yes,No,EDU,0.8805,0.1195,Low,1
S100171,2020,Female,White,No,No,ENG,0.8235,0.1765,Low,1
S100172,2023,Female,Two or More Races,Yes,No,BIO,0.7841,0.2159,Moderate,1
S100173,2022,Female,White,No,Yes,SOC,0.8886,0.1114,Low,1
S100174,2022,Male,White,No,No,SOC,0.8299,0.1701,Low,1
S100175,2021,Female,Hispanic/Latino,Yes,Yes,POL,0.6664,0.3336,Moderate,0
S100176,2022,Female,White,Yes,No,BUS,0.6354,0.3646,Moderate,0
S100177,2020,Male,International,No,No,COM,0.8805,0.1195,Low,1
S100178,2023,Male,Two or More Races,Yes,No,BUS,0.7567,0.2433,Moderate,1
S100179,2022,Female,International,No,No,BUS,0.878,0.122,Low,1
S100180,2023,Male,Unknown,No,No,BUS,0.8382,0.1618,Low,1
S100181,2020,Male,Hispanic/Latino,No,No,EDU,0.9114,0.0886,Low,1
S100182,2021,Female,White,Yes,No,EDU,0.9262,0.0738,Low,1
S100183,2022,Male,Black/African American,Yes,No,SOC,0.8613,0.1387,Low,1
S100184,2021,Female,White,Yes,No,COM,0.669,0.331,Moderate,0
S100185,2021,Male,Black/African American,No,No,ENG,0.7978,0.2022,Moderate,1
S100186,2020,Female,White,No,Yes,NUR,0.9676,0.0324,Low,1
S100187,2021,Male,Hispanic/Latino,No,Yes,EDU,0.8192,0.1808,Low,1
S100188,2020,Female,White,Yes,No,POL,0.6223,0.3777,Moderate,0
S100189,2021,Female,White,No,Yes,PSY,0.8227,0.1773,Low,0
S100190,2022,Male,White,No,Yes,COM,0.8566,0.1434,Low,1
S100191,2022,Female,White,No,Yes,ENG,0.8206,0.1794,Low,1
S100192,2022,Male,White,No,No,ENG,0.7239,0.2761,Moderate,1
S100193,2021,Male,White,No,No,EDU,0.8145,0.1855,Low,1
S100194,2023,Male,White,No,No,BIO,0.7841,0.2159,Moderate,1
S100195,2020,Female,Hispanic/Latino,No,No,SOC,0.8605,0.1395,Low,1
S100196,2021,Male,White,No,No,POL,0.8474,0.1526,Low,0
S100197,2020,Female,Black/African American,No,No,NUR,0.9621,0.0379,Low,1
S100198,2021,Female,White,No,No,ENG,0.5901,0.4099,Elevated,0
S100199,2023,Male,Hispanic/Latino,No,No,BUS,0.8304,0.1696,Low,1
S100200,2021,Male,White,No,No,PSY,0.87,0.13,Low,1
S100201,2023,Female,Hispanic/Latino,No,No,PSY,0.85,0.15,Low,1
S100202,2021,Female,Hispanic/Latino,No,Yes,COM,0.837,0.163,Low,1
S100203,2022,Male,Hispanic/Latino,No,Yes,PSY,0.6876,0.3124,Moderate,0
S100204,2021,Male,White,No,No,PSY,0.6462,0.3538,Moderate,0
S100205,2021,Female,Hispanic/Latino,No,No,EDU,0.87,0.13,Low,1
S100206,2023,Male,White,Yes,No,EDU,0.8241,0.1759,Low,1
S100207,2023,Female,White,Yes,Yes,BUS,0.9219,0.0781,Low,1
S100208,2021,Female,White,No,No,PSY,0.7853,0.2147,Moderate,1
S100209,2023,Male,Hispanic/Latino,Yes,No,EDU,0.9013,0.0987,Low,1
S100210,2021,Male,White,No,No,NUR,0.7929,0.2071,Moderate,1
S100211,2022,Female,Asian,Yes,No,ENG,0.5476,0.4524,Elevated,0
S100212,2023,Female,White,No,No,CS,0.7987,0.2013,Moderate,1
S100213,2021,Female,White,No,No,COM,0.8186,0.1814,Low,1
S100214,2022,Male,White,Yes,No,COM,0.6462,0.3538,Moderate,0
S100215,2021,Female,White,Yes,No,ENG,0.9219,0.0781,Low,1
S100216,2020,Female,Hispanic/Latino,No,No,CS,0.8235,0.1765,Low,1
S100217,2020,Nonbinary,Black/African American,No,No,EDU,0.8299,0.1701,Low,1
S100218,2021,Female,Asian,No,Yes,PSY,0.8914,0.1086,Low,1
S100219,2023,Female,White,Yes,No,CS,0.669,0.331,Moderate,1
S100220,2020,Female,White,No,No,CS,0.7481,0.2519,Moderate,1
S100221,2021,Male,Black/African American,Yes,Yes,PSY,0.9118,0.0882,Low,1
S100222,2022,Female,White,Yes,No,COM,0.682,0.318,Moderate,0
S100223,2020,Female,White,No,Yes,COM,0.8023,0.1977,Low,1
S100224,2022,Female,Black/African American,Yes,Yes,SOC,0.8249,0.1751,Low,1
S100225,2021,Male,White,Yes,No,CS,0.9867,0.0133,Low,1
S100226,2023,Male,White,No,Yes,EDU,0.9467,0.0533,Low,1
S100227,2022,Female,White,No,No,PSY,0.8235,0.1765,Low,1
S100228,2022,Female,Hispanic/Latino,No,No,POL,0.7885,0.2115,Moderate,1
S100229,2020,Male,White,No,No,POL,0.8557,0.1443,Low,1
S100230,2021,Female,Hispanic/Latino,No,No,ENG,0.7983,0.2017,Moderate,1
S100231,2023,Female,White,Yes,Yes,EDU,0.9322,0.0678,Low,1
S100232,2020,Female,White,Yes,No,ENG,0.7769,0.2231,Moderate,0
S100233,2023,Female,White,No,Yes,NUR,0.8362,0.1638,Low,1
S100234,2021,Female,Asian,No,No,POL,0.9013,0.0987,Low,1
S100235,2022,Female,White,No,No,EDU,0.77,0.23,Moderate,1
S100236,2022,Female,Asian,No,Yes,CS,0.8437,0.1563,Low,1
S100237,2021,Female,White,No,No,BIO,0.8249,0.1751,Low,1
S100238,2021,Male,White,No,No,COM,0.7852,0.2148,Moderate,1
S100239,2022,Female,White,No,No,CS,0.8249,0.1751,Low,1
S100240,2020,Female,Hispanic/Latino,No,Yes,SOC,0.7007,0.2993,Moderate,0
S100241,2022,Male,White,Yes,No,BIO,0.8144,0.1856,Low,1
S100242,2020,Female,Asian,Yes,Yes,ENG,0.85,0.15,Low,1
S100243,2022,Male,Two or More Races,No,No,NUR,0.723,0.277,Moderate,1
S100244,2022,Female,Asian,No,No,EDU,0.7474,0.2526,Moderate,0
S100245,2020,Male,Hispanic/Latino,Yes,No,PSY,0.7925,0.2075,Moderate,1
S100246,2023,Female,Hispanic/Latino,No,No,NUR,0.8451,0.1549,Low,1
S100247,2021,Female,Hispanic/Latino,No,No,ENG,0.817,0.183,Low,1
S100248,2023,Female,White,No,No,ENG,0.469,0.531,Elevated,0
S100249,2020,Female,Asian,No,No,PSY,0.7064,0.2936,Moderate,1
S100250,2020,Female,Black/African American,No,No,POL,0.8255,0.1745,Low,1
S100251,2021,Male,White,Yes,No,BUS,0.8474,0.1526,Low,1
S100252,2020,Male,Black/African American,No,No,PSY,0.87,0.13,Low,1
S100253,2021,Female,Black/African American,Yes,Yes,BIO,0.8411,0.1589,Low,1
S100254,2022,Male,White,No,No,POL,0.8331,0.1669,Low,1
S100255,2020,Male,Black/African American,No,No,BIO,0.9054,0.0946,Low,1
S100256,2022,Male,White,Yes,No,BIO,0.7225,0.2775,Moderate,0
S100257,2020,Male,White,No,No,ENG,0.8157,0.1843,Low,1
S100258,2020,Male,White,No,Yes,BIO,0.9219,0.0781,Low,1
S100259,2022,Female,Hispanic/Latino,No,Yes,BIO,0.8805,0.1195,Low,1
S100260,2023,Male,White,No,No,BIO,0.8157,0.1843,Low,1
S100261,2020,Male,Two or More Races,No,No,ENG,0.8354,0.1646,Low,1
S100262,2021,Female,White,No,No,EDU,0.5476,0.4524,Elevated,0
S100263,2023,Female,White,No,No,CS,0.8462,0.1538,Low,1
S100264,2023,Female,Hispanic/Latino,No,Yes,SOC,0.8605,0.1395,Low,1
S100265,2022,Male,White,Yes,No,BIO,0.7564,0.2436,Moderate,1
S100266,2021,Female,Asian,Yes,No,SOC,0.5705,0.4295,Elevated,0
S100267,2021,Male,White,No,No,EDU,0.7111,0.2889,Moderate,0
S100268,2022,Male,International,No,Yes,BUS,0.9809,0.0191,Low,1
S100269,2022,Nonbinary,Hispanic/Latino,Yes,No,COM,0.7618,0.2382,Moderate,1
S100270,2021,Female,White,No,No,POL,0.6354,0.3646,Moderate,0
S100271,2020,Male,White,Yes,No,COM,0.8354,0.1646,Low,1
S100272,2020,Male,White,No,No,BIO,0.8286,0.1714,Low,1
S100273,2023,Female,Two or More Races,Yes,Yes,CS,0.6798,0.3202,Moderate,0
S100274,2021,Male,Hispanic/Latino,No,No,SOC,0.7268,0.2732,Moderate,1
S100275,2021,Female,White,Yes,Yes,PSY,0.8292,0.1708,Low,1
S100276,2021,Male,White,No,No,CS,0.7454,0.2546,Moderate,1
S100277,2023,Female,Black/African American,Yes,Yes,ENG,0.9621,0.0379,Low,1
S100278,2020,Female,White,No,Yes,SOC,0.9219,0.0781,Low,1
S100279,2020,Female,Asian,No,Yes,POL,0.9219,0.0781,Low,1
S100280,2021,Female,Asian,Yes,Yes,EDU,0.8235,0.1765,Low,0
S100281,2021,Female,White,No,No,CS,0.6686,0.3314,Moderate,0
S100282,2022,Male,Hispanic/Latino,No,Yes,CS,0.788,0.212,Moderate,1
S100283,2021,Female,White,No,No,COM,0.7418,0.2582,Moderate,1
S100284,2021,Female,White,No,No,BUS,0.9621,0.0379,Low,1
S100285,2023,Male,International,No,Yes,CS,0.9062,0.0938,Low,1
S100286,2020,Male,Hispanic/Latino,No,No,PSY,0.8605,0.1395,Low,1
S100287,2022,Female,Black/African American,No,Yes,POL,0.85,0.15,Low,1
S100288,2022,Male,Hispanic/Latino,No,No,SOC,0.9054,0.0946,Low,1
S100289,2021,Female,White,Yes,Yes,BIO,0.8437,0.1563,Low,1
S100290,2023,Male,Asian,No,No,COM,0.6455,0.3545,Moderate,1
S100291,2021,Female,Hispanic/Latino,Yes,Yes,CS,0.8144,0.1856,Low,1
S100292,2023,Male,White,No,Yes,SOC,0.7983,0.2017,Moderate,1
S100293,2021,Male,White,Yes,Yes,CS,0.7021,0.2979,Moderate,1
S100294,2022,Male,Hispanic/Latino,Yes,No,COM,0.5705,0.4295,Elevated,0
S100295,2022,Female,Asian,No,No,EDU,0.87,0.13,Low,1
S100296,2023,Male,White,No,No,SOC,0.7934,0.2066,Moderate,1
S100297,2021,Female,Black/African American,Yes,No,EDU,0.8637,0.1363,Low,1
S100298,2021,Male,White,No,Yes,BIO,0.8249,0.1751,Low,1
S100299,2020,Male,White,No,No,EDU,0.8089,0.1911,Low,1
S100300,2021,Nonbinary,White,No,No,PSY,0.8158,0.1842,Low,1
S100301,2023,Female,Asian,No,No,EDU,0.7916,0.2084,Moderate,1
S100302,2020,Female,White,Yes,No,POL,0.8157,0.1843,Low,1
S100303,2023,Male,White,Yes,No,CS,0.8605,0.1395,Low,1
S100304,2022,Female,White,No,Yes,SOC,0.8408,0.1592,Low,1
S100305,2020,Female,Hispanic/Latino,Yes,No,NUR,0.5664,0.4336,Elevated,0
S100306,2021,Female,Asian,No,Yes,CS,0.9013,0.0987,Low,1
S100307,2022,Male,White,No,No,SOC,0.8557,0.1443,Low,1
S100308,2021,Female,Two or More Races,No,Yes,EDU,0.9029,0.0971,Low,1
S100309,2020,Female,White,No,No,PSY,0.8235,0.1765,Low,1
S100310,2022,Female,White,No,No,ENG,0.7534,0.2466,Moderate,0
S100311,2022,Male,Hispanic/Latino,No,No,NUR,0.9114,0.0886,Low,1
S100312,2020,Male,Asian,Yes,No,SOC,0.8605,0.1395,Low,1
S100313,2021,Female,White,Yes,No,NUR,0.6123,0.3877,Moderate,0
S100314,2020,Female,Hispanic/Latino,Yes,No,ENG,0.8805,0.1195,Low,1
S100315,2022,Female,White,No,No,CS,0.8584,0.1416,Low,1
S100316,2022,Female,Hispanic/Latino,No,No,COM,0.8157,0.1843,Low,0
S100317,2022,Male,Hispanic/Latino,No,Yes,CS,0.8249,0.1751,Low,1
S100318,2023,Female,International,No,No,BUS,0.6082,0.3918,Moderate,1
S100319,2023,Male,White,No,No,COM,0.8235,0.1765,Low,1
S100320,2021,Female,Hispanic/Latino,Yes,No,SOC,0.7858,0.2142,Moderate,0
S100321,2020,Male,Hispanic/Latino,Yes,Yes,COM,0.6333,0.3667,Moderate,0
S100322,2022,Female,White,Yes,No,BUS,0.8299,0.1701,Low,1
S100323,2023,Male,White,No,No,NUR,0.7546,0.2454,Moderate,1
S100324,2023,Male,International,No,No,BIO,0.8805,0.1195,Low,1
S100325,2020,Male,White,No,No,BIO,0.87,0.13,Low,1
S100326,2020,Female,Asian,No,Yes,NUR,0.5806,0.4194,Elevated,0
S100327,2020,Female,White,Yes,No,SOC,0.7517,0.2483,Moderate,1
S100328,2020,Male,Asian,No,No,EDU,0.8805,0.1195,Low,1
S100329,2022,Male,White,Yes,No,EDU,0.8329,0.1671,Low,1
S100330,2022,Female,International,No,No,POL,0.87,0.13,Low,1
S100331,2021,Female,Hispanic/Latino,No,Yes,SOC,0.7867,0.2133,Moderate,1
S100332,2021,Female,White,Yes,No,NUR,0.87,0.13,Low,1
S100333,2023,Male,Hispanic/Latino,Yes,Yes,BUS,0.6787,0.3213,Moderate,1
S100334,2021,Male,Hispanic/Latino,Yes,No,EDU,0.8676,0.1324,Low,1
S100335,2023,Male,White,Yes,No,POL,0.8411,0.1589,Low,1
S100336,2023,Male,White,No,Yes,EDU,0.878,0.122,Low,1
S100337,2021,Female,Asian,No,No,SOC,0.8676,0.1324,Low,1
S100338,2020,Female,Asian,No,No,COM,0.8637,0.1363,Low,1
S100339,2023,Female,White,No,No,CS,0.8408,0.1592,Low,1
S100340,2022,Male,Black/African American,No,Yes,NUR,0.9262,0.0738,Low,1
S100341,2021,Female,White,No,No,COM,0.9467,0.0533,Low,1
S100342,2022,Female,White,No,No,BIO,0.788,0.212,Moderate,1
S100343,2022,Female,Hispanic/Latino,Yes,No,BIO,0.8235,0.1765,Low,1
S100344,2023,Female,White,Yes,No,SOC,0.8437,0.1563,Low,1
S100345,2021,Male,White,No,No,COM,0.7943,0.2057,Moderate,1
S100346,2023,Female,Hispanic/Latino,No,No,CS,0.8372,0.1628,Low,1
S100347,2023,Female,White,No,Yes,EDU,0.8399,0.1601,Low,1
S100348,2020,Male,White,Yes,Yes,EDU,0.8138,0.1862,Low,0
S100349,2020,Female,Asian,No,No,CS,0.9237,0.0763,Low,1
S100350,2022,Female,Hispanic/Latino,No,No,POL,0.8206,0.1794,Low,1
S100351,2020,Female,Black/African American,No,No,BUS,0.6829,0.3171,Moderate,1
S100352,2021,Male,Hispanic/Latino,Yes,Yes,CS,0.9621,0.0379,Low,1
S100353,2021,Female,White,Yes,Yes,CS,0.7843,0.2157,Moderate,0
S100354,2023,Male,White,No,No,NUR,0.8827,0.1173,Low,0
S100355,2023,Male,Asian,No,Yes,EDU,0.8464,0.1536,Low,1
